"time (hrs)"	"OD600"	"strain"	"medium"	"biorep"	"techrep"
41.5016666666667	0.605	"ura3"	"CM_uracil"	"A"	1
42.0016666666667	0.616	"ura3"	"CM_uracil"	"A"	1
42.5016666666667	0.63	"ura3"	"CM_uracil"	"A"	1
43.0016666666667	0.621	"ura3"	"CM_uracil"	"A"	1
43.5016666666667	0.623	"ura3"	"CM_uracil"	"A"	1
44.0016666666667	0.631	"ura3"	"CM_uracil"	"A"	1
44.5016666666667	0.637	"ura3"	"CM_uracil"	"A"	1
45.0016666666667	0.633	"ura3"	"CM_uracil"	"A"	1
45.5016666666667	0.636	"ura3"	"CM_uracil"	"A"	1
46.0016666666667	0.648	"ura3"	"CM_uracil"	"A"	1
46.5016666666667	0.632	"ura3"	"CM_uracil"	"A"	1
47.0016666666667	0.648	"ura3"	"CM_uracil"	"A"	1
47.5016666666667	0.671	"ura3"	"CM_uracil"	"A"	1
48.0016666666667	0.635	"ura3"	"CM_uracil"	"A"	1
48.5016666666667	0.694	"ura3"	"CM_uracil"	"A"	1
49.0016666666667	0.618	"ura3"	"CM_uracil"	"A"	1
49.5016666666667	0.648	"ura3"	"CM_uracil"	"A"	1
50.0016666666667	0.65	"ura3"	"CM_uracil"	"A"	1
50.5016666666667	0.637	"ura3"	"CM_uracil"	"A"	1
51.0016666666667	0.657	"ura3"	"CM_uracil"	"A"	1
51.5016666666667	0.669	"ura3"	"CM_uracil"	"A"	1
52.0016666666667	0.644	"ura3"	"CM_uracil"	"A"	1
52.5016666666667	0.653	"ura3"	"CM_uracil"	"A"	1
53.0016666666667	0.667	"ura3"	"CM_uracil"	"A"	1
53.5016666666667	0.666	"ura3"	"CM_uracil"	"A"	1
54.0016666666667	0.662	"ura3"	"CM_uracil"	"A"	1
54.5016666666667	0.67	"ura3"	"CM_uracil"	"A"	1
55.0016666666667	0.662	"ura3"	"CM_uracil"	"A"	1
55.5016666666667	0.751	"ura3"	"CM_uracil"	"A"	1
56.0016666666667	0.587	"ura3"	"CM_uracil"	"A"	1
56.5016666666667	0.677	"ura3"	"CM_uracil"	"A"	1
57.0016666666667	0.682	"ura3"	"CM_uracil"	"A"	1
57.5016666666667	0.645	"ura3"	"CM_uracil"	"A"	1
58.0016666666667	0.649	"ura3"	"CM_uracil"	"A"	1
58.5016666666667	0.655	"ura3"	"CM_uracil"	"A"	1
59.0016666666667	0.654	"ura3"	"CM_uracil"	"A"	1
59.5016666666667	0.672	"ura3"	"CM_uracil"	"A"	1
60.0016666666667	0.66	"ura3"	"CM_uracil"	"A"	1
60.5016666666667	0.659	"ura3"	"CM_uracil"	"A"	1
61.0016666666667	0.653	"ura3"	"CM_uracil"	"A"	1
61.5016666666667	0.671	"ura3"	"CM_uracil"	"A"	1
62.0016666666667	0.666	"ura3"	"CM_uracil"	"A"	1
62.5016666666667	0.654	"ura3"	"CM_uracil"	"A"	1
63.0016666666667	0.654	"ura3"	"CM_uracil"	"A"	1
63.5016666666667	0.655	"ura3"	"CM_uracil"	"A"	1
64.0016666666667	0.664	"ura3"	"CM_uracil"	"A"	1
64.5013888888889	0.652	"ura3"	"CM_uracil"	"A"	1
65.0016666666667	0.657	"ura3"	"CM_uracil"	"A"	1
65.5016666666667	0.665	"ura3"	"CM_uracil"	"A"	1
66.0016666666667	0.657	"ura3"	"CM_uracil"	"A"	1
66.5016666666667	0.662	"ura3"	"CM_uracil"	"A"	1
67.0016666666667	0.672	"ura3"	"CM_uracil"	"A"	1
67.5016666666667	0.649	"ura3"	"CM_uracil"	"A"	1
68.0016666666667	0.667	"ura3"	"CM_uracil"	"A"	1
68.5016666666667	0.63	"ura3"	"CM_uracil"	"A"	1
69.0016666666667	0.649	"ura3"	"CM_uracil"	"A"	1
69.5016666666667	0.652	"ura3"	"CM_uracil"	"A"	1
70.0016666666667	0.647	"ura3"	"CM_uracil"	"A"	1
70.5016666666667	0.652	"ura3"	"CM_uracil"	"A"	1
71.0016666666667	0.652	"ura3"	"CM_uracil"	"A"	1
71.5016666666667	0.653	"ura3"	"CM_uracil"	"A"	1
72.0016666666667	0.628	"ura3"	"CM_uracil"	"A"	1
72.5016666666667	0.645	"ura3"	"CM_uracil"	"A"	1
0	0.124	"ura3"	"CM_uracil"	"A"	2
0.501666666666667	0.142	"ura3"	"CM_uracil"	"A"	2
1.00166666666667	0.121	"ura3"	"CM_uracil"	"A"	2
1.50166666666667	0.137	"ura3"	"CM_uracil"	"A"	2
2.00166666666667	0.14	"ura3"	"CM_uracil"	"A"	2
2.50166666666667	0.133	"ura3"	"CM_uracil"	"A"	2
3.00166666666667	0.138	"ura3"	"CM_uracil"	"A"	2
3.50166666666667	0.139	"ura3"	"CM_uracil"	"A"	2
4.00166666666667	0.131	"ura3"	"CM_uracil"	"A"	2
4.50166666666667	0.129	"ura3"	"CM_uracil"	"A"	2
5.00166666666667	0.139	"ura3"	"CM_uracil"	"A"	2
5.50166666666667	0.128	"ura3"	"CM_uracil"	"A"	2
6.00166666666667	0.13	"ura3"	"CM_uracil"	"A"	2
6.50166666666667	0.154	"ura3"	"CM_uracil"	"A"	2
7.00166666666667	0.15	"ura3"	"CM_uracil"	"A"	2
7.50166666666667	0.15	"ura3"	"CM_uracil"	"A"	2
8.00166666666667	0.147	"ura3"	"CM_uracil"	"A"	2
8.50166666666667	0.145	"ura3"	"CM_uracil"	"A"	2
9.00166666666667	0.148	"ura3"	"CM_uracil"	"A"	2
9.50166666666667	0.157	"ura3"	"CM_uracil"	"A"	2
10.0016666666667	0.156	"ura3"	"CM_uracil"	"A"	2
10.5016666666667	0.162	"ura3"	"CM_uracil"	"A"	2
11.0016666666667	0.181	"ura3"	"CM_uracil"	"A"	2
11.5016666666667	0.162	"ura3"	"CM_uracil"	"A"	2
12.0016666666667	0.178	"ura3"	"CM_uracil"	"A"	2
12.5016666666667	0.173	"ura3"	"CM_uracil"	"A"	2
13.0016666666667	0.186	"ura3"	"CM_uracil"	"A"	2
13.5016666666667	0.186	"ura3"	"CM_uracil"	"A"	2
14.0016666666667	0.192	"ura3"	"CM_uracil"	"A"	2
14.5016666666667	0.204	"ura3"	"CM_uracil"	"A"	2
15.0016666666667	0.21	"ura3"	"CM_uracil"	"A"	2
15.5016666666667	0.218	"ura3"	"CM_uracil"	"A"	2
16.0016666666667	0.224	"ura3"	"CM_uracil"	"A"	2
16.5016666666667	0.215	"ura3"	"CM_uracil"	"A"	2
17.0016666666667	0.22	"ura3"	"CM_uracil"	"A"	2
17.5016666666667	0.226	"ura3"	"CM_uracil"	"A"	2
18.0016666666667	0.236	"ura3"	"CM_uracil"	"A"	2
18.5016666666667	0.265	"ura3"	"CM_uracil"	"A"	2
19.0016666666667	0.248	"ura3"	"CM_uracil"	"A"	2
19.5016666666667	0.264	"ura3"	"CM_uracil"	"A"	2
20.0016666666667	0.271	"ura3"	"CM_uracil"	"A"	2
20.5016666666667	0.285	"ura3"	"CM_uracil"	"A"	2
21.0016666666667	0.301	"ura3"	"CM_uracil"	"A"	2
21.5016666666667	0.307	"ura3"	"CM_uracil"	"A"	2
22.0016666666667	0.319	"ura3"	"CM_uracil"	"A"	2
22.5016666666667	0.324	"ura3"	"CM_uracil"	"A"	2
23.0016666666667	0.339	"ura3"	"CM_uracil"	"A"	2
23.5016666666667	0.348	"ura3"	"CM_uracil"	"A"	2
24.0016666666667	0.355	"ura3"	"CM_uracil"	"A"	2
24.5016666666667	0.364	"ura3"	"CM_uracil"	"A"	2
25.0016666666667	0.384	"ura3"	"CM_uracil"	"A"	2
25.5016666666667	0.381	"ura3"	"CM_uracil"	"A"	2
26.0016666666667	0.397	"ura3"	"CM_uracil"	"A"	2
26.5016666666667	0.414	"ura3"	"CM_uracil"	"A"	2
27.0016666666667	0.423	"ura3"	"CM_uracil"	"A"	2
27.5016666666667	0.436	"ura3"	"CM_uracil"	"A"	2
28.0016666666667	0.447	"ura3"	"CM_uracil"	"A"	2
28.5016666666667	0.464	"ura3"	"CM_uracil"	"A"	2
29.0016666666667	0.467	"ura3"	"CM_uracil"	"A"	2
29.5016666666667	0.47	"ura3"	"CM_uracil"	"A"	2
30.0016666666667	0.48	"ura3"	"CM_uracil"	"A"	2
30.5016666666667	0.495	"ura3"	"CM_uracil"	"A"	2
31.0016666666667	0.509	"ura3"	"CM_uracil"	"A"	2
31.5016666666667	0.51	"ura3"	"CM_uracil"	"A"	2
32.0016666666667	0.512	"ura3"	"CM_uracil"	"A"	2
32.5016666666667	0.525	"ura3"	"CM_uracil"	"A"	2
33.0016666666667	0.532	"ura3"	"CM_uracil"	"A"	2
33.5016666666667	0.542	"ura3"	"CM_uracil"	"A"	2
34.0016666666667	0.543	"ura3"	"CM_uracil"	"A"	2
34.5016666666667	0.553	"ura3"	"CM_uracil"	"A"	2
35.0016666666667	0.556	"ura3"	"CM_uracil"	"A"	2
35.5016666666667	0.563	"ura3"	"CM_uracil"	"A"	2
36.0016666666667	0.565	"ura3"	"CM_uracil"	"A"	2
36.5016666666667	0.587	"ura3"	"CM_uracil"	"A"	2
37.0016666666667	0.569	"ura3"	"CM_uracil"	"A"	2
37.5016666666667	0.596	"ura3"	"CM_uracil"	"A"	2
38.0016666666667	0.604	"ura3"	"CM_uracil"	"A"	2
38.5016666666667	0.592	"ura3"	"CM_uracil"	"A"	2
39.0016666666667	0.603	"ura3"	"CM_uracil"	"A"	2
39.5016666666667	0.607	"ura3"	"CM_uracil"	"A"	2
40.0016666666667	0.6	"ura3"	"CM_uracil"	"A"	2
40.5016666666667	0.612	"ura3"	"CM_uracil"	"A"	2
41.0016666666667	0.623	"ura3"	"CM_uracil"	"A"	2
41.5016666666667	0.609	"ura3"	"CM_uracil"	"A"	2
42.0016666666667	0.622	"ura3"	"CM_uracil"	"A"	2
42.5016666666667	0.636	"ura3"	"CM_uracil"	"A"	2
43.0016666666667	0.625	"ura3"	"CM_uracil"	"A"	2
43.5016666666667	0.629	"ura3"	"CM_uracil"	"A"	2
44.0016666666667	0.635	"ura3"	"CM_uracil"	"A"	2
44.5016666666667	0.644	"ura3"	"CM_uracil"	"A"	2
45.0016666666667	0.639	"ura3"	"CM_uracil"	"A"	2
45.5016666666667	0.642	"ura3"	"CM_uracil"	"A"	2
46.0016666666667	0.65	"ura3"	"CM_uracil"	"A"	2
46.5016666666667	0.64	"ura3"	"CM_uracil"	"A"	2
47.0016666666667	0.654	"ura3"	"CM_uracil"	"A"	2
47.5016666666667	0.675	"ura3"	"CM_uracil"	"A"	2
48.0016666666667	0.641	"ura3"	"CM_uracil"	"A"	2
48.5016666666667	0.701	"ura3"	"CM_uracil"	"A"	2
49.0016666666667	0.625	"ura3"	"CM_uracil"	"A"	2
49.5016666666667	0.652	"ura3"	"CM_uracil"	"A"	2
